%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1627560307529711628,1955.11576566,628.232647709,0.0,0.0,0.0,0.0,0.0
1627560307584746539,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560307631814136,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560307680568144,1955.11576566,628.232647709,0.0,0.0,0.0,0.0,0.0
1627560307733864562,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560307786150651,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560307826463689,1955.13604125,628.852317144,0.0,0.0,0.0,0.0,0.0
1627560307880353450,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560307931812624,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560307977681617,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560308025840923,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560308076915289,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560308128553580,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560308185610236,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560308235218009,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560308279309264,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560308331361227,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560308381409732,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560308432041219,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560308482466391,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560308532603740,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560308584496681,1955.2670953,628.81345988,0.0,0.0,0.0,0.0,0.0
1627560308635065462,1955.0807343,628.959616017,0.0,0.0,0.0,0.0,0.0
1627560308684985148,1955.0807343,628.959616017,0.0,0.0,0.0,0.0,0.0
1627560308734588322,1955.2670953,628.81345988,0.0,0.0,0.0,0.0,0.0
1627560308783316872,1955.85449981,627.62038154,0.0,0.0,0.0,0.0,0.0
1627560308827732915,1955.2670953,628.81345988,0.0,0.0,0.0,0.0,0.0
1627560308877249455,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560308937034168,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560308986330775,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560309031787674,1955.85449981,627.62038154,0.0,0.0,0.0,0.0,0.0
1627560309080902535,1955.0807343,628.959616017,0.0,0.0,0.0,0.0,0.0
1627560309132249829,1955.85449981,627.62038154,0.0,0.0,0.0,0.0,0.0
1627560309176037968,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560309228334351,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560309282543888,1956.0030844,628.203782838,0.0,0.0,0.0,0.0,0.0
1627560309328152569,1956.0030844,628.203782838,0.0,0.0,0.0,0.0,0.0
1627560309377964723,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560309429132343,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560309480551936,1955.0807343,628.959616017,0.0,0.0,0.0,0.0,0.0
1627560309529139450,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560309581898093,1955.11576566,628.232647709,0.0,0.0,0.0,0.0,0.0
1627560309625616120,1955.2670953,628.81345988,0.0,0.0,0.0,0.0,0.0
1627560309676436621,1956.0030844,628.203782838,0.0,0.0,0.0,0.0,0.0
1627560309729033500,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560309782195192,1955.11576566,628.232647709,0.0,0.0,0.0,0.0,0.0
1627560309828103605,1955.13604125,628.852317144,0.0,0.0,0.0,0.0,0.0
1627560309882168701,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560309925955134,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560309979297868,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560310029989532,1955.85449981,627.62038154,0.0,0.0,0.0,0.0,0.0
1627560310079501323,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560310131151913,1959.70443114,628.353791132,0.0,0.0,0.0,0.0,0.0
1627560310178113482,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560310229184067,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560310283062243,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560310336574068,1955.85449981,627.62038154,0.0,0.0,0.0,0.0,0.0
1627560310385240894,1955.11576566,628.232647709,0.0,0.0,0.0,0.0,0.0
1627560310428927467,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560310478032121,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560310535822703,1955.11576566,628.232647709,0.0,0.0,0.0,0.0,0.0
1627560310582446402,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560310633253228,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560310677292042,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560310733115982,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560310781528154,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560310830046662,1955.11576566,628.232647709,0.0,0.0,0.0,0.0,0.0
1627560310879315162,1955.2670953,628.81345988,0.0,0.0,0.0,0.0,0.0
1627560310926081031,1955.11576566,628.232647709,0.0,0.0,0.0,0.0,0.0
1627560310976986731,1955.24681565,628.191832923,0.0,0.0,0.0,0.0,0.0
1627560311027925983,1955.13604125,628.852317144,0.0,0.0,0.0,0.0,0.0
1627560311084858956,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560311127675611,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
1627560311184057353,1955.13604125,628.852317144,0.0,0.0,0.0,0.0,0.0
1627560311235328649,1955.85449981,627.62038154,0.0,0.0,0.0,0.0,0.0
1627560311282528142,1956.0030844,628.203782838,0.0,0.0,0.0,0.0,0.0
1627560311328550511,1955.98312954,627.581602839,0.0,0.0,0.0,0.0,0.0
