%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1627560532777840759,10600,1618885573186826944,imu_bosch_link,18.0,-79.0,-3799.0,-15937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00111111111111,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,-0.002,0.051,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627560532777858605,10601,1618885573197370052,imu_bosch_link,18.0,-79.0,-3799.0,-15937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00111111111111,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,-0.002,0.053,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627560532796820154,10602,1618885573212553977,imu_bosch_link,18.0,-79.0,-3799.0,-15937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00111111111111,0.00111111111111,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,-0.001,0.045,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627560532810669993,10603,1618885573224050045,imu_bosch_link,18.0,-79.0,-3799.0,-15937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,-0.002,0.049,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627560532833233345,10604,1618885573235466003,imu_bosch_link,18.0,-79.0,-3799.0,-15937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627560532837237652,10605,1618885573247225046,imu_bosch_link,18.0,-79.0,-3799.0,-15937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00111111111111,0.0,-0.00111111111111,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.01,0.048,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627560532841222474,10606,1618885573258482933,imu_bosch_link,18.0,-75.0,-3798.0,-15938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133333333333,-0.0122222222222,-0.0177777777778,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.002,0.028,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627560532855050320,10607,1618885573272680044,imu_bosch_link,16.0,-69.0,-3788.0,-15940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177777777778,-0.0544444444444,-0.0877777777778,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,-0.018,0.14,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627560532872346491,10608,1618885573283968925,imu_bosch_link,15.0,-63.0,-3772.0,-15944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0688888888889,-0.202222222222,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,-0.104,0.038,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627560532877215683,10609,1618885573295490026,imu_bosch_link,13.0,-60.0,-3759.0,-15947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177777777778,-0.0455555555556,-0.17,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,-0.022,0.085,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
