%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1627560532953651457,1825.58679604,443.92595205,0.0,0.0,0.0,0.0,0.0
1627560532997923521,1824.79477718,449.712717833,0.0,0.0,0.0,0.0,0.0
1627560533042305212,1815.93830843,449.153223891,0.0,0.0,0.0,0.0,0.0
1627560533088860811,1811.14666878,444.63184597,0.0,0.0,0.0,0.0,0.0
1627560533138626387,1797.93028618,438.360692057,0.0,0.0,0.0,0.0,0.0
1627560533185950279,1793.26488634,438.319059862,0.0,0.0,0.0,0.0,0.0
1627560533237739052,1783.93334035,438.235788813,0.0,0.0,0.0,0.0,0.0
1627560533287501009,1779.30942022,438.492922413,0.0,0.0,0.0,0.0,0.0
1627560533337418430,1779.26719417,438.194149957,0.0,0.0,0.0,0.0,0.0
1627560533385664327,1779.26719417,438.194149957,0.0,0.0,0.0,0.0,0.0
1627560533437586406,1765.26726264,438.069220069,0.0,0.0,0.0,0.0,0.0
1627560533486423154,1755.93273059,437.985922373,0.0,0.0,0.0,0.0,0.0
1627560533537643304,1723.25402645,437.694310457,0.0,0.0,0.0,0.0,0.0
1627560533587204608,1709.24513206,437.569300588,0.0,0.0,0.0,0.0,0.0
1627560533638066570,1690.56311848,437.402589639,0.0,0.0,0.0,0.0,0.0
1627560533685795764,1685.95171856,437.658036127,0.0,0.0,0.0,0.0,0.0
1627560533741557790,1667.45166187,431.867387761,0.0,0.0,0.0,0.0,0.0
1627560533782049378,1667.45166187,431.867387761,0.0,0.0,0.0,0.0,0.0
1627560533833030499,1658.10169591,431.783667834,0.0,0.0,0.0,0.0,0.0
1627560533882750014,1644.1397434,431.943906588,0.0,0.0,0.0,0.0,0.0
1627560533939573344,1611.33688673,431.364934075,0.0,0.0,0.0,0.0,0.0
1627560533988701240,1588.14971076,425.820232707,0.0,0.0,0.0,0.0,0.0
1627560534033763264,1540.36103002,426.741015621,0.0,0.0,0.0,0.0,0.0
1627560534081451599,1512.38536275,421.235135637,0.0,0.0,0.0,0.0,0.0
1627560534140448956,1461.93356358,413.987225028,0.0,0.0,0.0,0.0,0.0
1627560534182473207,1429.07471988,413.689999825,0.0,0.0,0.0,0.0,0.0
1627560534239973057,1372.80655204,407.820191252,0.0,0.0,0.0,0.0,0.0
1627560534281961161,1343.54845646,404.162414953,0.0,0.0,0.0,0.0,0.0
1627560534339975200,1288.24563273,396.308609197,0.0,0.0,0.0,0.0,0.0
1627560534387942590,1255.29577018,390.625825253,0.0,0.0,0.0,0.0,0.0
1627560534435761507,1192.83106127,387.128209691,0.0,0.0,0.0,0.0,0.0
1627560534483137155,1165.72553163,379.194853668,0.0,0.0,0.0,0.0,0.0
1627560534541360301,1104.14279957,373.046274722,0.0,0.0,0.0,0.0,0.0
1627560534588723292,1070.9535287,367.328371944,0.0,0.0,0.0,0.0,0.0
1627560534633148236,1009.27843095,361.337062852,0.0,0.0,0.0,0.0,0.0
1627560534681588881,980.789485176,355.772433916,0.0,0.0,0.0,0.0,0.0
1627560534737688244,918.702889283,344.194422452,0.0,0.0,0.0,0.0,0.0
1627560534786579066,890.180761279,343.925903784,0.0,0.0,0.0,0.0,0.0
1627560534838366168,851.755522148,332.66514022,0.0,0.0,0.0,0.0,0.0
1627560534886021714,837.469351479,332.529759567,0.0,0.0,0.0,0.0,0.0
1627560534938025116,818.252450248,326.950145094,0.0,0.0,0.0,0.0,0.0
1627560534981586941,808.461366349,321.329615861,0.0,0.0,0.0,0.0,0.0
1627560535041549520,793.362821702,325.035608429,0.0,0.0,0.0,0.0,0.0
1627560535087930136,789.382652103,321.14763504,0.0,0.0,0.0,0.0,0.0
1627560535132174063,769.592377739,324.942159941,0.0,0.0,0.0,0.0,0.0
1627560535184797007,760.756823424,320.874589816,0.0,0.0,0.0,0.0,0.0
1627560535238779267,737.14814383,326.1171917,0.0,0.0,0.0,0.0,0.0
1627560535288011754,722.171227154,330.037690416,0.0,0.0,0.0,0.0,0.0
1627560535331435994,703.390822347,335.366960934,0.0,0.0,0.0,0.0,0.0
1627560535383298509,689.988239326,336.589636939,0.0,0.0,0.0,0.0,0.0
1627560535440382757,666.514177921,341.915495305,0.0,0.0,0.0,0.0,0.0
1627560535489402772,651.909346096,351.354556562,0.0,0.0,0.0,0.0,0.0
1627560535533048520,629.230032045,357.794353947,0.0,0.0,0.0,0.0,0.0
1627560535583099537,620.023521156,363.138822594,0.0,0.0,0.0,0.0,0.0
1627560535638107446,610.825949272,368.478102061,0.0,0.0,0.0,0.0,0.0
1627560535687759002,606.069070951,368.434052802,0.0,0.0,0.0,0.0,0.0
1627560535739034250,596.47722271,378.08427064,0.0,0.0,0.0,0.0,0.0
1627560535781854296,596.882485371,373.768315964,0.0,0.0,0.0,0.0,0.0
1627560535837452321,592.457570498,379.141123658,0.0,0.0,0.0,0.0,0.0
1627560535890605928,587.704811039,379.097404739,0.0,0.0,0.0,0.0,0.0
1627560535937128004,583.286737658,384.464880852,0.0,0.0,0.0,0.0,0.0
1627560535982374090,579.397269448,395.438142761,0.0,0.0,0.0,0.0,0.0
1627560536039833821,565.315829443,400.49134479,0.0,0.0,0.0,0.0,0.0
1627560536090862790,561.128942841,406.070643304,0.0,0.0,0.0,0.0,0.0
1627560536136925895,557.220697636,421.926340338,0.0,0.0,0.0,0.0,0.0
1627560536186754890,543.726619822,432.526098761,0.0,0.0,0.0,0.0,0.0
1627560536238086345,535.343260645,448.49030036,0.0,0.0,0.0,0.0,0.0
1627560536286118394,531.778480624,469.043962413,0.0,0.0,0.0,0.0,0.0
1627560536338506028,518.654394449,480.270451828,0.0,0.0,0.0,0.0,0.0
1627560536387654845,515.050031882,496.126967312,0.0,0.0,0.0,0.0,0.0
1627560536438840658,512.193911176,522.470199862,0.0,0.0,0.0,0.0,0.0
1627560536487669284,508.02541886,537.045836331,0.0,0.0,0.0,0.0,0.0
1627560536537533966,510.456860351,564.355090257,0.0,0.0,0.0,0.0,0.0
1627560536586820934,511.190968931,574.780726147,0.0,0.0,0.0,0.0,0.0
1627560536638759394,513.748168443,611.097466946,0.0,0.0,0.0,0.0,0.0
1627560536685807310,514.11194407,616.263722092,0.0,0.0,0.0,0.0,0.0
1627560536734904572,520.557335038,642.049301342,0.0,0.0,0.0,0.0,0.0
1627560536790220317,525.545941829,647.218439255,0.0,0.0,0.0,0.0,0.0
1627560536838120775,530.882478514,657.504424593,0.0,0.0,0.0,0.0,0.0
1627560536883067222,531.588217454,667.733411842,0.0,0.0,0.0,0.0,0.0
1627560536942655343,535.880705529,671.391072203,0.0,0.0,0.0,0.0,0.0
1627560536986106258,536.55744614,672.874636826,0.0,0.0,0.0,0.0,0.0
1627560537034633643,537.256125614,683.071240494,0.0,0.0,0.0,0.0,0.0
1627560537085495729,542.214324542,688.195855791,0.0,0.0,0.0,0.0,0.0
1627560537142966911,554.469895184,723.757537853,0.0,0.0,0.0,0.0,0.0
1627560537185991168,559.954260819,739.815892999,0.0,0.0,0.0,0.0,0.0
1627560537234362773,580.345157974,779.138929159,0.0,0.0,0.0,0.0,0.0
1627560537286232972,590.74480411,799.128191526,0.0,0.0,0.0,0.0,0.0
1627560537339266282,607.491896504,848.673707945,0.0,0.0,0.0,0.0,0.0
1627560537387847458,613.237761846,868.34171483,0.0,0.0,0.0,0.0,0.0
1627560537432776119,623.471031461,887.956683401,0.0,0.0,0.0,0.0,0.0
1627560537483332609,624.361862214,902.57190319,0.0,0.0,0.0,0.0,0.0
1627560537539857677,630.333065707,926.858671635,0.0,0.0,0.0,0.0,0.0
1627560537589297147,635.405556337,936.554671907,0.0,0.0,0.0,0.0,0.0
1627560537631250034,635.644244282,953.624114646,0.0,0.0,0.0,0.0,0.0
1627560537688489855,636.562383192,955.833004285,0.0,0.0,0.0,0.0,0.0
1627560537737488380,641.898431367,970.266556806,0.0,0.0,0.0,0.0,0.0
1627560537781073899,642.468785134,979.846896279,0.0,0.0,0.0,0.0,0.0
1627560537838459486,647.500184085,989.433437988,0.0,0.0,0.0,0.0,0.0
1627560537881579495,649.080536586,995.172319938,0.0,0.0,0.0,0.0,0.0
1627560537939959465,653.823977126,999.967933356,0.0,0.0,0.0,0.0,0.0
1627560537981364010,648.345038043,1003.73821016,0.0,0.0,0.0,0.0,0.0
1627560538037653567,647.67813475,1006.17904648,0.0,0.0,0.0,0.0,0.0
1627560538086978210,652.800225666,1003.76340755,0.0,0.0,0.0,0.0,0.0
1627560538138737857,649.950412005,1009.46849051,0.0,0.0,0.0,0.0,0.0
1627560538182382325,649.282726808,1011.89413623,0.0,0.0,0.0,0.0,0.0
1627560538233881844,650.239777281,1014.22413167,0.0,0.0,0.0,0.0,0.0
1627560538290995592,649.477580047,1014.407476,0.0,0.0,0.0,0.0,0.0
1627560538340551028,648.906852189,1013.25065107,0.0,0.0,0.0,0.0,0.0
1627560538381453339,648.906852189,1013.25065107,0.0,0.0,0.0,0.0,0.0
1627560538434679188,653.913704179,1022.76856771,0.0,0.0,0.0,0.0,0.0
1627560538487400746,654.468760365,1032.24242067,0.0,0.0,0.0,0.0,0.0
1627560538537397201,665.524755538,1069.99437673,0.0,0.0,0.0,0.0,0.0
1627560538580187046,671.579988356,1089.93653797,0.0,0.0,0.0,0.0,0.0
1627560538636589564,679.867970343,1140.91989133,0.0,0.0,0.0,0.0,0.0
1627560538690878402,689.962674874,1164.02320532,0.0,0.0,0.0,0.0,0.0
1627560538740688001,699.096680076,1215.21779294,0.0,0.0,0.0,0.0,0.0
1627560538781078546,705.990461106,1245.15802424,0.0,0.0,0.0,0.0,0.0
1627560538834913321,717.545582348,1299.10319365,0.0,0.0,0.0,0.0,0.0
1627560538888741810,723.741385599,1334.70767208,0.0,0.0,0.0,0.0,0.0
1627560538939064595,735.07957408,1387.60092124,0.0,0.0,0.0,0.0,0.0
1627560538981063684,741.146968658,1422.51514566,0.0,0.0,0.0,0.0,0.0
1627560539037010401,752.274425784,1474.38693809,0.0,0.0,0.0,0.0,0.0
1627560539084763353,757.78982879,1500.09755973,0.0,0.0,0.0,0.0,0.0
1627560539139524911,762.492738525,1530.91115381,0.0,0.0,0.0,0.0,0.0
1627560539189087661,765.023121455,1540.1546499,0.0,0.0,0.0,0.0,0.0
1627560539232073454,768.932727267,1555.29459021,0.0,0.0,0.0,0.0,0.0
1627560539285439170,769.139882615,1559.51043005,0.0,0.0,0.0,0.0,0.0
1627560539341609702,771.92321244,1572.88622265,0.0,0.0,0.0,0.0,0.0
1627560539386003560,774.350251691,1580.53960718,0.0,0.0,0.0,0.0,0.0
1627560539433970514,779.334480354,1597.29247676,0.0,0.0,0.0,0.0,0.0
1627560539486043353,783.902043043,1605.64951558,0.0,0.0,0.0,0.0,0.0
1627560539543664108,793.010654568,1622.31508217,0.0,0.0,0.0,0.0,0.0
1627560539589398126,801.894343079,1634.77630113,0.0,0.0,0.0,0.0,0.0
1627560539639338052,815.262880043,1655.4615861,0.0,0.0,0.0,0.0,0.0
1627560539688077510,823.901016468,1663.71400543,0.0,0.0,0.0,0.0,0.0
1627560539739941862,843.513115417,1684.87057963,0.0,0.0,0.0,0.0,0.0
1627560539786856108,848.736885947,1693.0626053,0.0,0.0,0.0,0.0,0.0
1627560539839236491,871.107836859,1708.81290848,0.0,0.0,0.0,0.0,0.0
1627560539886430789,883.744437043,1716.96708679,0.0,0.0,0.0,0.0,0.0
1627560539936972842,904.702592996,1729.17087831,0.0,0.0,0.0,0.0,0.0
1627560539988443534,917.139946754,1733.23888866,0.0,0.0,0.0,0.0,0.0
1627560540039274105,941.974729253,1741.36185067,0.0,0.0,0.0,0.0,0.0
1627560540087114497,954.372200692,1745.41681631,0.0,0.0,0.0,0.0,0.0
1627560540137441468,979.022584636,1749.48492496,0.0,0.0,0.0,0.0,0.0
1627560540187286248,987.300100185,1753.52520914,0.0,0.0,0.0,0.0,0.0
1627560540238601286,998.268160883,1753.95071294,0.0,0.0,0.0,0.0,0.0
1627560540286414721,1003.6432007,1753.54812096,0.0,0.0,0.0,0.0,0.0
1627560540340457129,1006.43403849,1753.95832407,0.0,0.0,0.0,0.0,0.0
1627560540388462308,1011.81361159,1753.55957527,0.0,0.0,0.0,0.0,0.0
1627560540437658037,1024.06780402,1753.57675475,0.0,0.0,0.0,0.0,0.0
1627560540487066714,1036.32028808,1753.59393182,0.0,0.0,0.0,0.0,0.0
