%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1627560370880680685,1849.0311177,369.165011422,0.0,0.0,0.0,0.0,0.0
1627560370931512511,1848.62743219,369.614865224,0.0,0.0,0.0,0.0,0.0
1627560370984798752,1848.96509018,364.392963546,0.0,0.0,0.0,0.0,0.0
1627560371030266491,1849.31303262,358.979796708,0.0,0.0,0.0,0.0,0.0
1627560371086025914,1848.96509018,364.392963546,0.0,0.0,0.0,0.0,0.0
1627560371133732413,1849.0311177,369.165011422,0.0,0.0,0.0,0.0,0.0
1627560371184793978,1848.96509018,364.392963546,0.0,0.0,0.0,0.0,0.0
1627560371236535559,1849.39010895,363.914482671,0.0,0.0,0.0,0.0,0.0
1627560371285666793,1849.0455734,369.321168556,0.0,0.0,0.0,0.0,0.0
1627560371336938641,1848.96509018,364.392963546,0.0,0.0,0.0,0.0,0.0
1627560371386225258,1849.0311177,369.165011422,0.0,0.0,0.0,0.0,0.0
1627560371433503387,1849.0311177,369.165011422,0.0,0.0,0.0,0.0,0.0
1627560371485158514,1848.97851113,364.538303513,0.0,0.0,0.0,0.0,0.0
1627560371537517207,1848.97851113,364.538303513,0.0,0.0,0.0,0.0,0.0
1627560371579380954,1849.0311177,369.165011422,0.0,0.0,0.0,0.0,0.0
1627560371634488381,1848.62743219,369.614865224,0.0,0.0,0.0,0.0,0.0
1627560371683972776,1848.96509018,364.392963546,0.0,0.0,0.0,0.0,0.0
1627560371735779203,1848.96509018,364.392963546,0.0,0.0,0.0,0.0,0.0
1627560371785960624,1849.0455734,369.321168556,0.0,0.0,0.0,0.0,0.0
1627560371836447099,1848.96509018,364.392963546,0.0,0.0,0.0,0.0,0.0
1627560371886041389,1848.96509018,364.392963546,0.0,0.0,0.0,0.0,0.0
1627560371935061202,1849.37681123,363.770028677,0.0,0.0,0.0,0.0,0.0
1627560371985718338,1849.31303262,358.979796708,0.0,0.0,0.0,0.0,0.0
1627560372027445974,1849.37681123,363.770028677,0.0,0.0,0.0,0.0,0.0
1627560372081728997,1849.39010895,363.914482671,0.0,0.0,0.0,0.0,0.0
1627560372133655279,1849.37681123,363.770028677,0.0,0.0,0.0,0.0,0.0
1627560372185772379,1849.37681123,363.770028677,0.0,0.0,0.0,0.0,0.0
1627560372234105306,1849.0311177,369.165011422,0.0,0.0,0.0,0.0,0.0
1627560372284489879,1848.96509018,364.392963546,0.0,0.0,0.0,0.0,0.0
1627560372330373534,1848.97851113,364.538303513,0.0,0.0,0.0,0.0,0.0
1627560372384094278,1849.0455734,369.321168556,0.0,0.0,0.0,0.0,0.0
1627560372435032552,1849.0311177,369.165011422,0.0,0.0,0.0,0.0,0.0
1627560372483673789,1848.96509018,364.392963546,0.0,0.0,0.0,0.0,0.0
1627560372527234051,1848.97851113,364.538303513,0.0,0.0,0.0,0.0,0.0
1627560372579064628,1848.57476777,364.99154898,0.0,0.0,0.0,0.0,0.0
1627560372634368321,1844.25625425,364.363614903,0.0,0.0,0.0,0.0,0.0
1627560372685115612,1843.84123546,364.831035785,0.0,0.0,0.0,0.0,0.0
1627560372732626735,1844.25625425,364.363614903,0.0,0.0,0.0,0.0,0.0
1627560372784477201,1844.25625425,364.363614903,0.0,0.0,0.0,0.0,0.0
1627560372832435134,1844.60166952,358.950335092,0.0,0.0,0.0,0.0,0.0
1627560372877840137,1839.89013725,358.920872417,0.0,0.0,0.0,0.0,0.0
1627560372933396087,1835.28262109,363.638211541,0.0,0.0,0.0,0.0,0.0
1627560372980385376,1821.18615987,363.506373166,0.0,0.0,0.0,0.0,0.0
1627560373032222886,1811.78725707,363.418469112,0.0,0.0,0.0,0.0,0.0
1627560373084447986,1783.34479724,358.411429124,0.0,0.0,0.0,0.0,0.0
1627560373135067514,1765.078388,357.57499406,0.0,0.0,0.0,0.0,0.0
1627560373185433266,1737.15023447,352.017852955,0.0,0.0,0.0,0.0,0.0
1627560373229909138,1723.0038478,351.766431871,0.0,0.0,0.0,0.0,0.0
1627560373281906981,1685.57788149,345.993333365,0.0,0.0,0.0,0.0,0.0
1627560373333531927,1661.24434289,346.929336736,0.0,0.0,0.0,0.0,0.0
1627560373382668635,1624.49898518,339.98792228,0.0,0.0,0.0,0.0,0.0
1627560373428247486,1600.89612303,339.764253464,0.0,0.0,0.0,0.0,0.0
1627560373481022869,1562.59658138,329.981421295,0.0,0.0,0.0,0.0,0.0
1627560373537082942,1544.58941548,328.351115577,0.0,0.0,0.0,0.0,0.0
1627560373584261247,1502.33596622,317.042362667,0.0,0.0,0.0,0.0,0.0
1627560373631208248,1482.37065737,318.510837019,0.0,0.0,0.0,0.0,0.0
1627560373681609354,1439.93843679,307.321629353,0.0,0.0,0.0,0.0,0.0
1627560373733230998,1417.26264197,305.290960018,0.0,0.0,0.0,0.0,0.0
1627560373781995951,1383.13264467,296.012354659,0.0,0.0,0.0,0.0,0.0
1627560373832385135,1369.96374729,293.872604284,0.0,0.0,0.0,0.0,0.0
1627560373883908073,1331.9798287,287.98412756,0.0,0.0,0.0,0.0,0.0
1627560373935185405,1313.01223024,282.330059885,0.0,0.0,0.0,0.0,0.0
1627560373983857952,1265.44077344,270.848900639,0.0,0.0,0.0,0.0,0.0
1627560374030703007,1245.24515258,267.641667741,0.0,0.0,0.0,0.0,0.0
1627560374081676082,1216.56374716,261.847877978,0.0,0.0,0.0,0.0,0.0
1627560374129082285,1208.18723321,248.174684479,0.0,0.0,0.0,0.0,0.0
1627560374182175489,1193.83494728,248.031495202,0.0,0.0,0.0,0.0,0.0
1627560374234470770,1184.26545312,247.936022679,0.0,0.0,0.0,0.0,0.0
1627560374278765710,1160.27634519,247.570392906,0.0,0.0,0.0,0.0,0.0
1627560374331859230,1149.64181697,250.448409258,0.0,0.0,0.0,0.0,0.0
1627560374383901231,1131.53485991,236.313841613,0.0,0.0,0.0,0.0,0.0
1627560374432367562,1121.87058886,236.061818991,0.0,0.0,0.0,0.0,0.0
1627560374481861390,1112.36036589,236.12133117,0.0,0.0,0.0,0.0,0.0
1627560374536546579,1107.56608833,236.073196992,0.0,0.0,0.0,0.0,0.0
1627560374588364051,1096.87727309,239.022732488,0.0,0.0,0.0,0.0,0.0
1627560374630668250,1088.38636118,235.880634009,0.0,0.0,0.0,0.0,0.0
1627560374684232005,1072.91243751,238.86280794,0.0,0.0,0.0,0.0,0.0
1627560374730535920,1063.32528446,238.798829987,0.0,0.0,0.0,0.0,0.0
1627560374785848968,1045.30362343,241.001883803,0.0,0.0,0.0,0.0,0.0
1627560374834692154,1034.57645662,244.014337678,0.0,0.0,0.0,0.0,0.0
1627560374886324166,1021.32438285,240.761891816,0.0,0.0,0.0,0.0,0.0
1627560374937836077,1016.52774952,240.71388556,0.0,0.0,0.0,0.0,0.0
1627560374977644975,1006.96748241,246.037174223,0.0,0.0,0.0,0.0,0.0
1627560375028243425,1002.1362787,240.569851071,0.0,0.0,0.0,0.0,0.0
1627560375082423616,987.860721799,245.976540293,0.0,0.0,0.0,0.0,0.0
1627560375130448101,973.472394056,245.832991435,0.0,0.0,0.0,0.0,0.0
1627560375181567955,944.830366978,251.092118407,0.0,0.0,0.0,0.0,0.0
1627560375232935669,925.646458294,250.901330092,0.0,0.0,0.0,0.0,0.0
1627560375282956059,877.668369834,250.424177141,0.0,0.0,0.0,0.0,0.0
1627560375338486660,857.783412981,259.574741438,0.0,0.0,0.0,0.0,0.0
1627560375388725877,810.88458695,260.840111866,0.0,0.0,0.0,0.0,0.0
1627560375437706503,796.425291975,260.603218238,0.0,0.0,0.0,0.0,0.0
1627560375480451785,772.495882578,260.460744445,0.0,0.0,0.0,0.0,0.0
1627560375530647774,762.896089521,260.365876728,0.0,0.0,0.0,0.0,0.0
1627560375585591938,748.425509482,260.127737052,0.0,0.0,0.0,0.0,0.0
1627560375640221155,738.46359751,269.831223617,0.0,0.0,0.0,0.0,0.0
1627560375683162911,729.547525335,265.56990284,0.0,0.0,0.0,0.0,0.0
1627560375732784714,724.093043967,269.73713016,0.0,0.0,0.0,0.0,0.0
1627560375788286135,719.948264531,265.475342073,0.0,0.0,0.0,0.0,0.0
1627560375833886065,715.148241606,265.428057823,0.0,0.0,0.0,0.0,0.0
1627560375879341041,710.347956971,265.380770995,0.0,0.0,0.0,0.0,0.0
1627560375932533830,705.547410603,265.333481588,0.0,0.0,0.0,0.0,0.0
1627560375989874024,704.929874312,269.611656296,0.0,0.0,0.0,0.0,0.0
1627560376037575524,705.547410603,265.333481588,0.0,0.0,0.0,0.0,0.0
1627560376081628616,700.746602482,265.286189603,0.0,0.0,0.0,0.0,0.0
1627560376132653176,697.353007899,270.698405879,0.0,0.0,0.0,0.0,0.0
1627560376182539676,691.111065455,280.541957396,0.0,0.0,0.0,0.0,0.0
1627560376232573234,682.110217947,276.154738098,0.0,0.0,0.0,0.0,0.0
1627560376288154779,668.010929976,281.534250411,0.0,0.0,0.0,0.0,0.0
1627560376336241977,664.829564253,292.499550123,0.0,0.0,0.0,0.0,0.0
1627560376385886819,645.256886207,303.333194007,0.0,0.0,0.0,0.0,0.0
1627560376434143326,640.279884834,313.137119798,0.0,0.0,0.0,0.0,0.0
1627560376480904360,622.898057339,330.496408398,0.0,0.0,0.0,0.0,0.0
1627560376537706745,618.441328984,335.913851056,0.0,0.0,0.0,0.0,0.0
1627560376581716547,605.098596371,352.132808792,0.0,0.0,0.0,0.0,0.0
1627560376633230254,595.897597596,357.483637963,0.0,0.0,0.0,0.0,0.0
1627560376681997717,591.796894699,368.301890754,0.0,0.0,0.0,0.0,0.0
1627560376731025815,587.372079433,373.68054098,0.0,0.0,0.0,0.0,0.0
1627560376786319072,578.607011384,373.795980916,0.0,0.0,0.0,0.0,0.0
1627560376835277079,573.433196955,388.733397754,0.0,0.0,0.0,0.0,0.0
1627560376885986084,560.918096219,405.837075036,0.0,0.0,0.0,0.0,0.0
1627560376936852509,547.398966215,416.469611386,0.0,0.0,0.0,0.0,0.0
1627560376981894438,521.252490178,453.012606981,0.0,0.0,0.0,0.0,0.0
1627560377032645995,512.79505529,459.293427491,0.0,0.0,0.0,0.0,0.0
1627560377083201513,495.108422928,480.067459588,0.0,0.0,0.0,0.0,0.0
1627560377131796417,486.305693736,494.883919588,0.0,0.0,0.0,0.0,0.0
1627560377186626691,477.819371912,501.095094279,0.0,0.0,0.0,0.0,0.0
1627560377236787346,469.201067497,511.577020484,0.0,0.0,0.0,0.0,0.0
1627560377286154393,461.390551018,532.555420235,0.0,0.0,0.0,0.0,0.0
1627560377336656565,457.100776127,537.767027709,0.0,0.0,0.0,0.0,0.0
1627560377386580752,448.079007285,547.17076017,0.0,0.0,0.0,0.0,0.0
1627560377437554862,443.854100721,548.135961655,0.0,0.0,0.0,0.0,0.0
1627560377485849482,443.854100721,548.135961655,0.0,0.0,0.0,0.0,0.0
1627560377535521416,443.854100721,548.135961655,0.0,0.0,0.0,0.0,0.0
1627560377586950457,443.854100721,548.135961655,0.0,0.0,0.0,0.0,0.0
1627560377630320451,443.811250847,552.367399167,0.0,0.0,0.0,0.0,0.0
1627560377684387816,444.388539281,548.634585934,0.0,0.0,0.0,0.0,0.0
1627560377727880911,443.854100721,548.135961655,0.0,0.0,0.0,0.0,0.0
1627560377784509779,443.854100721,548.135961655,0.0,0.0,0.0,0.0,0.0
1627560377832344529,444.257369258,553.370362836,0.0,0.0,0.0,0.0,0.0
1627560377882180005,445.062625284,563.822537278,0.0,0.0,0.0,0.0,0.0
1627560377933906240,440.959147006,564.308827762,0.0,0.0,0.0,0.0,0.0
1627560377990456595,441.198268655,574.214861498,0.0,0.0,0.0,0.0,0.0
1627560378037848858,437.711207461,593.898315494,0.0,0.0,0.0,0.0,0.0
1627560378082449518,438.960263146,605.337219663,0.0,0.0,0.0,0.0,0.0
1627560378129638595,439.718213797,619.709672329,0.0,0.0,0.0,0.0,0.0
1627560378181652897,441.375087123,636.30079421,0.0,0.0,0.0,0.0,0.0
1627560378232835282,442.576796824,651.709465101,0.0,0.0,0.0,0.0,0.0
1627560378289810832,443.700778642,670.927947276,0.0,0.0,0.0,0.0,0.0
1627560378336271055,439.951935463,677.248409869,0.0,0.0,0.0,0.0,0.0
1627560378388326147,440.751652308,687.44071165,0.0,0.0,0.0,0.0,0.0
1627560378432928422,442.337009097,702.099284817,0.0,0.0,0.0,0.0,0.0
1627560378482683983,441.549698399,697.611719862,0.0,0.0,0.0,0.0,0.0
1627560378531748692,441.948096547,702.68925972,0.0,0.0,0.0,0.0,0.0
1627560378589119693,442.743646308,712.828452476,0.0,0.0,0.0,0.0,0.0
1627560378630725892,443.933864344,727.997648282,0.0,0.0,0.0,0.0,0.0
1627560378682842564,451.275044929,763.24092915,0.0,0.0,0.0,0.0,0.0
1627560378733821077,453.224302022,788.234869866,0.0,0.0,0.0,0.0,0.0
1627560378784871222,457.092714569,837.836779325,0.0,0.0,0.0,0.0,0.0
1627560378835073427,459.012024574,862.446729774,0.0,0.0,0.0,0.0,0.0
1627560378888980997,463.200014033,916.146347226,0.0,0.0,0.0,0.0,0.0
1627560378932688942,465.46460576,945.183600226,0.0,0.0,0.0,0.0,0.0
1627560378985334800,469.716777108,1005.50996019,0.0,0.0,0.0,0.0,0.0
1627560379035222909,472.17614327,1031.24088389,0.0,0.0,0.0,0.0,0.0
1627560379081745971,471.895394556,1090.25343536,0.0,0.0,0.0,0.0,0.0
1627560379132719095,474.721139996,1120.37803446,0.0,0.0,0.0,0.0,0.0
1627560379184836078,479.791597195,1185.00044458,0.0,0.0,0.0,0.0,0.0
1627560379237781307,482.300503667,1216.97617707,0.0,0.0,0.0,0.0,0.0
1627560379281741476,486.5613222,1271.27983291,0.0,0.0,0.0,0.0,0.0
1627560379337977627,485.406401129,1311.57220363,0.0,0.0,0.0,0.0,0.0
1627560379381133462,489.953389266,1369.17531967,0.0,0.0,0.0,0.0,0.0
1627560379437602200,487.406906466,1391.12214362,0.0,0.0,0.0,0.0,0.0
1627560379487836143,485.528380787,1427.56903427,0.0,0.0,0.0,0.0,0.0
1627560379537611710,486.956677989,1439.05237556,0.0,0.0,0.0,0.0,0.0
1627560379588825976,484.436825476,1460.66472741,0.0,0.0,0.0,0.0,0.0
1627560379629690789,484.78338328,1464.97742105,0.0,0.0,0.0,0.0,0.0
1627560379680877184,485.821058688,1477.89063808,0.0,0.0,0.0,0.0,0.0
1627560379733509465,485.98413555,1478.89746974,0.0,0.0,0.0,0.0,0.0
1627560379783529484,486.855747156,1490.76668453,0.0,0.0,0.0,0.0,0.0
1627560379839508379,486.855747156,1490.76668453,0.0,0.0,0.0,0.0,0.0
1627560379889261811,487.133066431,1500.66749143,0.0,0.0,0.0,0.0,0.0
1627560379932182862,487.887461562,1503.60572065,0.0,0.0,0.0,0.0,0.0
1627560379982015614,493.13706361,1516.41948295,0.0,0.0,0.0,0.0,0.0
1627560380032964589,493.477299161,1520.67860885,0.0,0.0,0.0,0.0,0.0
1627560380083419043,499.045529672,1537.68550311,0.0,0.0,0.0,0.0,0.0
1627560380139057276,499.264271126,1547.35710861,0.0,0.0,0.0,0.0,0.0
1627560380181496289,507.390248434,1564.97444888,0.0,0.0,0.0,0.0,0.0
1627560380237851945,510.117668623,1571.50283449,0.0,0.0,0.0,0.0,0.0
1627560380289825056,515.294716697,1584.11975838,0.0,0.0,0.0,0.0,0.0
1627560380336904295,520.132299055,1592.51398773,0.0,0.0,0.0,0.0,0.0
1627560380383182023,529.77930073,1609.25357759,0.0,0.0,0.0,0.0,0.0
1627560380434032392,538.759746034,1617.60808166,0.0,0.0,0.0,0.0,0.0
1627560380481624545,552.197023259,1630.10877439,0.0,0.0,0.0,0.0,0.0
1627560380540303476,556.660143461,1643.4543523,0.0,0.0,0.0,0.0,0.0
1627560380589323867,577.469287266,1655.63685282,0.0,0.0,0.0,0.0,0.0
1627560380637028542,583.005038335,1664.08374833,0.0,0.0,0.0,0.0,0.0
1627560380681742038,601.126932706,1675.62824629,0.0,0.0,0.0,0.0,0.0
1627560380732042705,612.039746235,1685.92995372,0.0,0.0,0.0,0.0,0.0
1627560380782263070,627.322591664,1696.16320953,0.0,0.0,0.0,0.0,0.0
1627560380831608828,635.046442257,1700.96977262,0.0,0.0,0.0,0.0,0.0
1627560380887688229,656.150336671,1709.13329774,0.0,0.0,0.0,0.0,0.0
1627560380935093449,665.492356228,1712.54615777,0.0,0.0,0.0,0.0,0.0
1627560380980938512,686.33342313,1716.6494687,0.0,0.0,0.0,0.0,0.0
1627560381037056185,698.684591075,1716.66934071,0.0,0.0,0.0,0.0,0.0
1627560381089008980,719.492659782,1720.7675625,0.0,0.0,0.0,0.0,0.0
1627560381136216358,727.942609027,1724.84172814,0.0,0.0,0.0,0.0,0.0
1627560381181573506,748.498055237,1724.87385157,0.0,0.0,0.0,0.0,0.0
1627560381230679955,756.718889922,1724.88669884,0.0,0.0,0.0,0.0,0.0
1627560381282047704,764.938956885,1724.89954491,0.0,0.0,0.0,0.0,0.0
1627560381331762579,773.359485968,1728.96864565,0.0,0.0,0.0,0.0,0.0
1627560381380051853,777.267618083,1724.91881177,0.0,0.0,0.0,0.0,0.0
1627560381432317293,781.574176536,1728.98129404,0.0,0.0,0.0,0.0,0.0
1627560381483464757,806.213648563,1729.01923212,0.0,0.0,0.0,0.0,0.0
1627560381537184857,826.917383074,1733.1020474,0.0,0.0,0.0,0.0,0.0
1627560381588863495,867.939111429,1733.16426537,0.0,0.0,0.0,0.0,0.0
1627560381636084931,892.688299748,1737.24746225,0.0,0.0,0.0,0.0,0.0
1627560381681177110,946.068592808,1741.36787164,0.0,0.0,0.0,0.0,0.0
1627560381731655770,974.827227207,1745.44643058,0.0,0.0,0.0,0.0,0.0
1627560381779067454,1023.9838811,1749.54898761,0.0,0.0,0.0,0.0,0.0
1627560381831819014,1056.73729943,1753.62255497,0.0,0.0,0.0,0.0,0.0
1627560381879670781,1113.96395001,1761.74276509,0.0,0.0,0.0,0.0,0.0
1627560381930575593,1138.75731734,1762.34807532,0.0,0.0,0.0,0.0,0.0
1627560381980471672,1195.8126398,1770.43060373,0.0,0.0,0.0,0.0,0.0
1627560382030997885,1223.93351408,1773.91643975,0.0,0.0,0.0,0.0,0.0
1627560382083953222,1283.54767416,1778.24080531,0.0,0.0,0.0,0.0,0.0
1627560382130128511,1309.17581516,1782.02014882,0.0,0.0,0.0,0.0,0.0
1627560382185274301,1365.82104634,1790.0671085,0.0,0.0,0.0,0.0,0.0
1627560382235397478,1398.13914353,1794.08782398,0.0,0.0,0.0,0.0,0.0
1627560382286107570,1450.4114841,1806.06973002,0.0,0.0,0.0,0.0,0.0
1627560382335946149,1473.36750535,1810.2034203,0.0,0.0,0.0,0.0,0.0
1627560382384768972,1510.7132999,1814.06241945,0.0,0.0,0.0,0.0,0.0
1627560382435236870,1525.60799725,1818.15367127,0.0,0.0,0.0,0.0,0.0
1627560382480636125,1550.7238603,1822.01446205,0.0,0.0,0.0,0.0,0.0
1627560382534418206,1557.57256596,1826.07286197,0.0,0.0,0.0,0.0,0.0
1627560382582437427,1569.50004548,1830.02368392,0.0,0.0,0.0,0.0,0.0
1627560382630495623,1578.57367539,1829.93654671,0.0,0.0,0.0,0.0,0.0
1627560382677245363,1590.01302575,1830.46510719,0.0,0.0,0.0,0.0,0.0
1627560382732539916,1599.05674299,1830.38460325,0.0,0.0,0.0,0.0,0.0
1627560382777534361,1618.79704445,1829.97558629,0.0,0.0,0.0,0.0,0.0
1627560382834480824,1626.83950229,1829.98339205,0.0,0.0,0.0,0.0,0.0
1627560382884679363,1646.94241653,1830.00290333,0.0,0.0,0.0,0.0,0.0
1627560382935738585,1654.98229035,1830.01070659,0.0,0.0,0.0,0.0,0.0
1627560382980655775,1679.31509917,1826.0915071,0.0,0.0,0.0,0.0,0.0
1627560383032747255,1687.35569812,1826.09949209,0.0,0.0,0.0,0.0,0.0
1627560383082049854,1711.70559695,1822.17795837,0.0,0.0,0.0,0.0,0.0
1627560383135878613,1719.9833465,1818.23720355,0.0,0.0,0.0,0.0,0.0
1627560383185462075,1736.31514704,1814.30172752,0.0,0.0,0.0,0.0,0.0
1627560383236709818,1748.63433484,1810.35899933,0.0,0.0,0.0,0.0,0.0
1627560383285822454,1766.54967041,1798.90297211,0.0,0.0,0.0,0.0,0.0
1627560383335671463,1777.85578593,1794.53359348,0.0,0.0,0.0,0.0,0.0
1627560383385132738,1796.09735783,1779.08829801,0.0,0.0,0.0,0.0,0.0
1627560383436208406,1807.73147551,1770.67702942,0.0,0.0,0.0,0.0,0.0
1627560383483043466,1820.98971809,1754.69398043,0.0,0.0,0.0,0.0,0.0
1627560383534198244,1829.66199805,1746.68403883,0.0,0.0,0.0,0.0,0.0
1627560383585588817,1847.64826131,1722.55662893,0.0,0.0,0.0,0.0,0.0
1627560383634889961,1852.31025147,1714.48307307,0.0,0.0,0.0,0.0,0.0
1627560383688137960,1862.27126909,1690.16723846,0.0,0.0,0.0,0.0,0.0
1627560383736592731,1867.27232615,1677.95916085,0.0,0.0,0.0,0.0,0.0
1627560383785857610,1873.22338149,1653.43388524,0.0,0.0,0.0,0.0,0.0
1627560383835703641,1877.90171431,1641.12575245,0.0,0.0,0.0,0.0,0.0
1627560383885469534,1883.62960322,1624.65540432,0.0,0.0,0.0,0.0,0.0
1627560383931537060,1879.84060757,1620.51752377,0.0,0.0,0.0,0.0,0.0
1627560383982202978,1884.90561373,1608.11624545,0.0,0.0,0.0,0.0,0.0
1627560384037318619,1881.11012293,1603.96241936,0.0,0.0,0.0,0.0,0.0
1627560384087226142,1886.50738799,1587.35466198,0.0,0.0,0.0,0.0,0.0
1627560384136226375,1887.13982343,1574.84984937,0.0,0.0,0.0,0.0,0.0
1627560384186997980,1894.52871463,1537.13660401,0.0,0.0,0.0,0.0,0.0
1627560384237181318,1896.49465855,1511.80798581,0.0,0.0,0.0,0.0,0.0
1627560384281848684,1903.9737026,1469.28393468,0.0,0.0,0.0,0.0,0.0
1627560384329908537,1910.50877602,1439.28002609,0.0,0.0,0.0,0.0,0.0
1627560384381291782,1918.80286329,1387.36692217,0.0,0.0,0.0,0.0,0.0
1627560384432449874,1920.87224555,1361.17792674,0.0,0.0,0.0,0.0,0.0
1627560384480076706,1933.90446242,1303.94494635,0.0,0.0,0.0,0.0,0.0
1627560384535228447,1940.30272827,1277.28832377,0.0,0.0,0.0,0.0,0.0
1627560384585290577,1949.28607736,1218.97614937,0.0,0.0,0.0,0.0,0.0
1627560384630637281,1955.78886072,1191.82294709,0.0,0.0,0.0,0.0,0.0
1627560384682065650,1964.57934916,1137.01546365,0.0,0.0,0.0,0.0,0.0
1627560384735996196,1971.56568248,1104.75330471,0.0,0.0,0.0,0.0,0.0
1627560384780802322,1980.53334811,1048.90858279,0.0,0.0,0.0,0.0,0.0
1627560384832045153,1986.85730711,1025.45692348,0.0,0.0,0.0,0.0,0.0
1627560384882658463,1994.40202508,987.676184112,0.0,0.0,0.0,0.0,0.0
1627560384933221470,2000.0,973.446590645,0.0,0.0,0.0,0.0,0.0
1627560384983941190,2002.00730029,949.592199848,0.0,0.0,0.0,0.0,0.0
1627560385034318482,2007.23340131,940.043497455,0.0,0.0,0.0,0.0,0.0
1627560385079803580,2009.2660906,916.020513003,0.0,0.0,0.0,0.0,0.0
1627560385129485114,2005.64135667,907.26682333,0.0,0.0,0.0,0.0,0.0
1627560385182376992,2008.09046345,877.300997799,0.0,0.0,0.0,0.0,0.0
1627560385235270270,2008.9085727,867.578736557,0.0,0.0,0.0,0.0,0.0
1627560385282262539,2010.1388656,852.958160019,0.0,0.0,0.0,0.0,0.0
1627560385334148525,2010.54980019,848.074688237,0.0,0.0,0.0,0.0,0.0
1627560385385163514,2011.40777562,838.161424186,0.0,0.0,0.0,0.0,0.0
1627560385434849219,2011.78512383,833.39432735,0.0,0.0,0.0,0.0,0.0
1627560385476087529,2012.19774047,828.490866357,0.0,0.0,0.0,0.0,0.0
1627560385528855680,2008.54737694,818.63862929,0.0,0.0,0.0,0.0,0.0
1627560385587708604,2005.29950593,803.836791587,0.0,0.0,0.0,0.0,0.0
1627560385629796532,2001.63233255,793.932835636,0.0,0.0,0.0,0.0,0.0
1627560385681329782,1998.36015648,778.957968154,0.0,0.0,0.0,0.0,0.0
1627560385736304885,1990.18005318,769.065695968,0.0,0.0,0.0,0.0,0.0
1627560385777389647,1986.88615876,754.107760469,0.0,0.0,0.0,0.0,0.0
1627560385833256653,1982.77876504,749.089810074,0.0,0.0,0.0,0.0,0.0
1627560385886138133,1983.58189396,739.10273188,0.0,0.0,0.0,0.0,0.0
1627560385936108306,1983.58189396,739.10273188,0.0,0.0,0.0,0.0,0.0
1627560385985015249,1979.46623922,734.068741674,0.0,0.0,0.0,0.0,0.0
1627560386035169085,1975.74448443,724.017377404,0.0,0.0,0.0,0.0,0.0
1627560386086946912,1969.06917982,693.768953556,0.0,0.0,0.0,0.0,0.0
1627560386136349357,1961.56405941,673.473793589,0.0,0.0,0.0,0.0,0.0
1627560386180352678,1946.69036888,627.572566066,0.0,0.0,0.0,0.0,0.0
1627560386229760567,1939.62430503,601.791159849,0.0,0.0,0.0,0.0,0.0
1627560386281572387,1928.93696844,560.880655404,0.0,0.0,0.0,0.0,0.0
1627560386337091971,1925.06706036,549.939465043,0.0,0.0,0.0,0.0,0.0
1627560386381454722,1917.72965908,523.80425195,0.0,0.0,0.0,0.0,0.0
1627560386436614443,1913.61561273,513.493023348,0.0,0.0,0.0,0.0,0.0
1627560386480704336,1901.4568056,492.191733518,0.0,0.0,0.0,0.0,0.0
1627560386533421267,1892.94213889,481.962837002,0.0,0.0,0.0,0.0,0.0
1627560386581916045,1875.79215656,455.316224225,0.0,0.0,0.0,0.0,0.0
1627560386633334015,1872.18747758,444.340381754,0.0,0.0,0.0,0.0,0.0
1627560386684622196,1849.86245585,423.257377295,0.0,0.0,0.0,0.0,0.0
1627560386736391575,1836.92797556,412.03259216,0.0,0.0,0.0,0.0,0.0
1627560386787091260,1814.84975788,390.385468283,0.0,0.0,0.0,0.0,0.0
1627560386838116980,1805.81996075,385.115711303,0.0,0.0,0.0,0.0,0.0
1627560386878907563,1783.58448938,363.154700282,0.0,0.0,0.0,0.0,0.0
1627560386930064645,1769.78300826,357.619139751,0.0,0.0,0.0,0.0,0.0
1627560386985568153,1741.84000656,351.943762968,0.0,0.0,0.0,0.0,0.0
1627560387037639531,1728.27607126,340.971349537,0.0,0.0,0.0,0.0,0.0
1627560387086101251,1704.97036922,335.318631366,0.0,0.0,0.0,0.0,0.0
1627560387136610688,1691.08939254,329.817164172,0.0,0.0,0.0,0.0,0.0
1627560387184998065,1676.91118671,329.613256424,0.0,0.0,0.0,0.0,0.0
1627560387234791656,1667.46625844,329.523166715,0.0,0.0,0.0,0.0,0.0
1627560387284936856,1658.02031131,329.433067289,0.0,0.0,0.0,0.0,0.0
1627560387329221763,1657.23289961,330.512595394,0.0,0.0,0.0,0.0,0.0
1627560387383177023,1653.29695563,329.388013931,0.0,0.0,0.0,0.0,0.0
1627560387434224317,1653.29695563,329.388013931,0.0,0.0,0.0,0.0,0.0
1627560387483656373,1653.29695563,329.388013931,0.0,0.0,0.0,0.0,0.0
1627560387534919610,1648.57334518,329.342958143,0.0,0.0,0.0,0.0,0.0
1627560387579548416,1625.17807925,323.673710084,0.0,0.0,0.0,0.0,0.0
