time;no calibration;calibration with FGL;calibration without FGL;simple feedback calibration
0;-5.01566094379936e-06;-2.65390510442156e-06;-2.65390510442156e-06;-0.227095365506164
0.05;-8.34082628663154e-06;-2.85425806535981e-06;-2.85425806535981e-06;-0.483709478952254
0.1;-1.09458667738156e-05;0.0020236010660421;0.000247736652986745;-0.670729651559238
0.15;-0.0194251000937865;-0.0166032981378548;-0.0196588664224635;-0.841022916748405
0.2;0.00155017985189715;0.0250673031842784;0.00286726715124447;-0.885993076490353
0.25;-0.156165551234243;-0.0990014101903028;-0.157669782255072;-1.03267419472293
0.3;-0.294391475676822;-0.212398425670194;-0.310916232917676;-1.10466221692738
0.35;-0.454260571628043;-0.370888102093345;-0.50247980541398;-1.18347362826219
0.4;-0.524656446029766;-0.463059257391704;-0.618118666406934;-1.18442794367645
0.45;-0.550586588721266;-0.521435444033991;-0.696347091669877;-1.15731435215039
0.5;-0.547021546071276;-0.546278372137008;-0.74682996697992;-1.10071541426712
0.55;-0.578418310964882;-0.614130518067173;-0.835858172226989;-1.10859565482811
0.6;-0.516821533743101;-0.581680286085112;-0.829133159563222;-1.02817028287905
0.65;-0.530486715399238;-0.60782682427274;-0.895392004555024;-1.00076208917957
0.7;-0.586696989573093;-0.677330610273126;-1.00835419882238;-1.01264053042025
0.75;-0.612014839865106;-0.725777064991288;-1.09513712536518;-1.01139884260627
0.8;-0.59133224583289;-0.72495079432682;-1.13551391092523;-0.965284652409638
0.85;-0.606928211490386;-0.760077542391427;-1.21259939415714;-0.964160692623807
0.9;-0.585971522691462;-0.754772487104624;-1.25195182081197;-0.927222700037068
0.95;-0.596056124555642;-0.780136421153602;-1.32229743768545;-0.92872811608978
1;-0.573800962700923;-0.773099082016415;-1.35920810674548;-0.906681344061306
1.05;-0.554428461888255;-0.762778118324155;-1.39649627582752;-0.884260341874403
1.1;-0.556232250438328;-0.769467400110631;-1.45395077484974;-0.877763860427398
1.15;-0.561881703433443;-0.775580625043439;-1.51513918236658;-0.862985269569369
1.2;-0.592418172897479;-0.809616796040405;-1.60357001786316;-0.872976899853709
1.25;-0.591552874256965;-0.8139523544461;-1.66171944468897;-0.851301106239352
1.3;-0.600200778064514;-0.826655100412673;-1.72980847492921;-0.835803481854397
1.35;-0.609049223584711;-0.841601717604088;-1.79906650361206;-0.824149652871301
1.4;-0.601915791406598;-0.839704532558932;-1.85204793068419;-0.796502710174146
1.45;-0.604853296160795;-0.849607724750364;-1.9151548278151;-0.785938535558122
1.5;-0.582707279135567;-0.830487083795425;-1.95141466833589;-0.746485463266852
1.55;-0.592866988089537;-0.839529886015559;-2.01937306828347;-0.731261538474604
1.6;-0.606635355570616;-0.852364862763663;-2.09197556917413;-0.715486297465855
