time;no calibration;calibration with FGL;calibration without FGL;simple feedback calibration;
0;-5.01566094379936e-06;-2.56004449310558e-06;-2.56004449310558e-06;-3.53894860424595;
0.05;-8.34082628663154e-06;-1.96245522904843e-05;-1.96245522904843e-05;-7.79670449282432;
0.1;-1.09458667738156e-05;0.00259668116940695;-0.00033532718353434;-11.1411772196798;
0.15;-0.0194251000937865;-0.0180904694792227;-0.0217579885629686;-13.8320494110939;
0.2;0.00155017985189715;0.0191404308196313;-0.0016285441938408;-15.9402105673592;
0.25;-0.156165551234243;-0.110498245696585;-0.165220579588713;-17.8011373165874;
0.3;-0.294391475676822;-0.230053134756474;-0.322042149951685;-19.3156530112165;
0.35;-0.454260571628043;-0.394852571674559;-0.517531927156124;-20.6216584615474;
0.4;-0.524656446029766;-0.493000366245596;-0.63722049711182;-21.6776480195148;
0.45;-0.550586588721266;-0.556913406710797;-0.719587281348424;-22.5684486380342;
0.5;-0.547021546071276;-0.586818593190541;-0.774264186016049;-23.3203210061539;
0.55;-0.578418310964882;-0.65872526916401;-0.86720745167069;-24.0412400804631;
0.6;-0.516821533743101;-0.629229730908839;-0.864061313414787;-24.5928075120416;
0.65;-0.530486715399238;-0.657423816475808;-0.933591001432509;-25.1263191206513;
0.7;-0.586696989573093;-0.728242782060116;-1.0495711244457;-25.6388708477384;
0.75;-0.612014839865106;-0.777517188691514;-1.13920839761963;-26.0867743426527;
0.8;-0.59133224583289;-0.777165547299221;-1.18229884443279;-26.4467125352598;
0.85;-0.606928211490386;-0.812434271024037;-1.26194578998079;-26.8139643164638;
0.9;-0.585971522691462;-0.806965997931721;-1.30371647412782;-27.1131767832795;
0.95;-0.596056124555642;-0.831879054559657;-1.37631796264243;-27.4216128342136;
1;-0.573800962700923;-0.823964016641902;-1.4152315689947;-27.6783881632247;
1.05;-0.554428461888255;-0.812479871984077;-1.45432869738834;-27.9096295282185;
1.1;-0.556232250438328;-0.817821204673894;-1.51342455318869;-28.1336742414026;
1.15;-0.561881703433443;-0.822456729051913;-1.57611259962614;-28.3287333524835;
