time;no calibration;calibration with FGL;calibration without FGL;simple feedback calibration
0;6.78678947088446e-06;9.27068598891732e-06;9.27068598891732e-06;-5.50931070118822e-06
0.05;7.18175889344859e-06;1.37378676567852e-05;1.37378676567852e-05;-3.36932369330753e-06
0.1;8.28047509616192e-06;0.00289690834042633;0.000338035704932919;-3.12396720673732e-06
0.15;-0.0331667345987055;-0.0276248900129423;-0.0330650810457932;-0.033227887518769
0.2;-4.70262773942832e-05;-0.000467585182255365;-0.000484591278835241;-0.000120704316548473
0.25;0.028341829765614;0.0226492554543685;0.0286054137835904;0.0283127906771693
0.3;0.0518321958994863;0.0427984428004029;0.0543094490699576;0.0518950438479756
0.35;0.075464374007148;0.0645919441307693;0.0817063005837122;0.0756618250984404
0.4;0.0982608949879065;0.106885500737119;0.111047497608134;0.0986310464929289
0.45;-0.0330908131373302;-0.00947397407744214;-0.0176744973338065;-0.0327344032020157
0.5;-0.0426311397360098;-0.0176026372939832;-0.028159006734706;-0.0423555473644244
0.55;-0.0442530511689497;-0.0187875388419905;-0.0313020527153721;-0.0440588233750752
0.6;-0.0499049318820633;-0.0244552322851765;-0.0387839140617163;-0.0497954044237109
0.65;-0.0512982600030321;-0.0262425879937479;-0.0422203417148227;-0.0512800931290274
0.7;-0.0531443620035572;-0.027902116451847;-0.0462124782978365;-0.0532206940742746
0.75;-0.059179259134033;-0.0344920203336289;-0.0547272430672491;-0.0593580512627195
0.8;-0.0574123752659673;-0.0332509821619894;-0.0555266547761895;-0.0576939559778665
0.85;-0.0609323927145158;-0.0362013841435026;-0.0617006036873576;-0.0613175711572418
0.9;-0.06941186208812;-0.0461551746684775;-0.073375326131273;-3.21500806651438
0.95;-0.0600825387626202;-0.0391687792294496;-0.0671418295598175;-8.06203306910763
1;-0.0549623223102224;-0.035122298535981;-0.0646996389642136;-13.8362963860185
1.05;-0.0548227616452211;-0.0361746964026848;-0.0671504182260187;-20.7519809435997
1.1;-0.0491961758626756;-0.032055072201257;-0.0639233811173939;-28.5485020993609
1.15;-0.0433863993872405;-0.0265151601848801;-0.0601191548620559;-36.3807142999865
1.2;-0.0454996316543541;-0.0283006118810318;-0.0641672421789189;-43.3707805420401
1.25;-0.0462038910315119;-0.0299588771788622;-0.0669445887819782;-49.2130952402139
1.3;-0.0380171888847013;-0.0222905566355746;-0.0605109122899647;-53.9899068073155
1.35;-0.0379350222294184;-0.0219676623223739;-0.0619776980048249;-57.8783608810227
1.4;-0.037393092381686;-0.0215120720876386;-0.0629607392910901;-61.0148052302364
1.45;-0.0343882139724348;-0.0183823967486508;-0.0613480357111364;-63.5195693823356
1.5;-0.0341877347561216;-0.01772602211104;-0.0624349005821135;-65.5045964325749
1.55;-0.0342547872211117;-0.0177324901196091;-0.0638022917726155;-67.0612220511427
1.6;-0.0309682883068713;-0.0142792636246365;-0.0616753552748189;-68.2634764377204
1.65;-0.0303131597551795;0.00475139535112205;-0.0610467210097216;-69.1369035962987
1.7;-0.168024107622198;-0.122418101904297;-0.204632234711382;-69.9170278316932
1.75;-0.177804456605807;-0.137461200285409;-0.22444007711976;-70.4064986191535
1.8;-0.167068920275227;-0.131295067434525;-0.22375516069241;-70.7280247067232
1.85;-0.176204624936342;-0.143567237931163;-0.24306900738401;-70.9482472001739
1.9;-0.181327486895602;-0.15270469352558;-0.25884344636561;-71.0686595269947
1.95;-0.180792784341136;-0.159723374215707;-0.269338044784766;-71.1130692496291
2;-0.154474951181972;-0.138815334370734;-0.252949149031115;-71.064676379418
2.05;-0.153919040564607;-0.141495394346237;-0.261694114330906;-70.984611865332
2.1;-0.147487005755675;-0.134312321948346;-0.264064561323587;-70.8411823578626
2.15;-0.171605118617298;-0.163559982190709;-0.29819750941297;-70.6987553435291
2.2;-0.132443197414315;-0.129862255699275;-0.268051894764291;-70.4604433860592
2.25;-0.126319375473721;-0.125652326863429;-0.269747967061989;-70.219120536677
2.3;-0.119129405182434;-0.120301747877637;-0.269919078728684;-69.9479819575757
2.35;-0.109224764608809;-0.0843904252713812;-0.265311691307623;-69.579366742194
2.4;-0.313841801733503;-0.270430466308263;-0.483813804402757;-69.3916811253188
2.45;-0.363757307132946;-0.322918688128607;-0.555244734206165;-69.0540308081396
2.5;-0.389178346582571;-0.357679923368227;-0.605106156811154;-68.6905807697568
2.55;-0.391902533991051;-0.38456721744976;-0.63396542164788;-68.3372848789345
2.6;-0.293544719127231;-0.302071332573303;-0.557274514784404;-67.8716586821959
2.65;-0.292077864607342;-0.305226460244605;-0.574585419228139;-67.4738979072862
2.7;-0.289660505605283;-0.307390710402553;-0.590641612118872;-67.056862435716
2.75;-0.278913307954164;-0.301811998931864;-0.597939572389853;-66.6140000169054
2.8;-0.262498602534585;-0.344931109337036;-0.600577372517218;-66.5146320046526
2.85;-0.231704550965153;-0.367930796065597;-0.58320983964914;-66.5228947916084
2.9;-0.22136778237145;-0.389193239994151;-0.582452169647177;-66.5433615441527
2.95;-0.207749758968949;-0.396779817802768;-0.576248332044693;-66.5513640022706
3;-0.191086268736408;-0.395168738399601;-0.56528962518222;-66.5501103272096
3.05;-0.17156301136346;-0.386509532509763;-0.550096199025755;-66.5417302212759
3.1;-0.147280822268393;-0.370000326254279;-0.52902256620132;-66.5254568732194
3.15;-0.134863187926772;-0.363424039617172;-0.51908614652232;-66.5191033688611
3.2;-0.140126378570311;-0.373523701356722;-0.526452702949284;-66.529440476577
3.25;-0.136051337267901;-0.37339091532931;-0.524125032413459;-66.5295560781107
3.3;-0.130195359634528;-0.370697643457494;-0.519688148020197;-66.5271185866739
3.35;-0.113075820658056;-0.356003127500753;-0.50366761698447;-66.5126713513726
3.4;-0.100898246129165;-0.34570552999391;-0.492353232708552;-66.5026112730202
3.45;-0.0276804685979252;-0.273519944016241;-0.419610108855638;-66.4305943007497
3.5;-0.00678738760938197;-0.253267879045649;-0.399013092962108;-66.4104648001276
3.55;0.00904835177448849;-0.237887456443541;-0.383388051804813;-66.3952001088018
3.6;0.0264229436104975;-0.220822069105825;-0.366161148533342;-66.3782362925749
3.65;0.0451818718872618;-0.202250442128503;-0.347491589287453;-66.359746855567
3.7;0.0550222035654811;-0.192540596853534;-0.337716798778045;-66.3500984773018
3.75;0.0618747095167915;-0.185775681783854;-0.330906086398979;-66.3433866264723
3.8;0.0688126410344913;-0.178895250717168;-0.323992174197824;-66.3365501327233
3.85;0.0814159978336822;-0.166315714886837;-0.311396209019163;-66.3239992110386
3.9;0.0906617640326547;-0.157074746113446;-0.30215360608273;-66.3147748878193
3.95;0.0999896382321893;-0.147747441477008;-0.292825361437122;-66.3054405958165
4;0.10479005994094;-0.142939806362298;-0.288027007866598;-66.3006224966749
4.05;0.107626947093482;-0.140091173443402;-0.285187015287485;-66.2977580608327
4.1;0.111769404656365;-0.135935232424427;-0.281042953403866;-66.2935799795066
4.15;0.100624185186975;-0.147075028332638;-0.292189679862404;-66.3047148496275
4.2;0.100676742342501;-0.147028398891321;-0.292140202724124;-66.3046634411448
4.25;0.256080340889388;0.00843415399120164;-0.136706491073388;-66.148962154733
4.3;0.260001140261889;0.0124251760534421;-0.132747797124419;-66.1446589035719
4.35;0.259944752962191;0.0124246077667657;-0.132775754601201;-66.1443504543773
4.4;0.263161788493768;0.0156880800488332;-0.129537897589724;-66.1407732028919
4.45;0.266575256873278;0.0191400478859557;-0.126110900851153;-66.1370015355963
4.5;0.269559479096081;0.0221623689063016;-0.123110948840171;-66.133654262154
4.55;0.27299920064235;0.0256315147054745;-0.119659288858249;-66.1298447058478
4.6;0.27611795196243;0.0287745144412191;-0.11652659353099;-66.1263480193977
4.65;0.278529813509395;0.0312085336584928;-0.114104247117381;-66.1235506666754
4.7;0.288730818898939;0.041434514801241;-0.103892308213574;-66.1129411883214
4.75;0.294960282631317;0.0476798633939387;-0.0976536372289149;-66.1062868616518
4.8;0.346004450647607;0.0987419893414337;-0.0465983310237146;-66.0547313557334
4.85;0.346483825617992;0.0992402900182337;-0.0461095187901014;-66.053717785487
4.9;0.343623726099074;0.0963954231965667;-0.0489599884901773;-66.0560516442413
4.95;0.340792506777719;0.093576550429617;-0.0517858686019205;-66.0583544685895
5;0.337678324380926;0.0904766111717299;-0.0548905515583397;-66.0609426211085
5.05;0.334611731902214;0.0874196091396977;-0.0579550968343553;-66.0634902406337
5.1;0.330338351808805;0.0831499395783744;-0.0622284989119617;-66.0672571769115
5.15;0.335975890480891;0.0887865842768928;-0.0565914270236787;-66.061097209162
5.2;0.342626652752241;0.0954372670030282;-0.0499404702333702;-66.053903103054
5.25;0.337255245291008;0.0900731660471196;-0.0553097763256865;-66.0587295005487
5.3;0.327132574015199;0.0799535350426665;-0.0654319734688808;-66.0683259967364
5.35;0.316786373915799;0.0696076369104198;-0.0757761639039164;-66.0781657495062
5.4;0.307877676842298;0.0606993256287881;-0.084687696322886;-66.0865813752731
5.45;0.299045097771354;0.0518685917213254;-0.0935216980448963;-66.0949294508902
5.5;0.306456148262486;0.0592795059815646;-0.0861124613683257;-66.0870251440482
5.55;0.296468434901246;0.0492932917335541;-0.0961015526472239;-66.0965239963035
5.6;0.282566722768394;0.0353927043329266;-0.110000771075948;-66.1099623621389
5.65;0.270999865769721;0.0238239423176178;-0.121567994981272;-66.121085128458
5.7;0.277854718015457;0.0306773994908007;-0.114716390593249;-66.113776145021
5.75;0.274465109450843;0.0272864191825192;-0.118106254362873;-66.1167084833217
5.8;0.2789244548882;0.0317438115786976;-0.113647246575134;-66.1117746635745
5.85;0.268761335878465;0.021581082876302;-0.123806733173009;-66.1214761685877
5.9;0.254867192548585;0.00768362353369792;-0.137703851670987;-66.1349323848902
5.95;0.243499932991598;-0.00368010081426725;-0.149070718676943;-66.1458782704909
6;0.23513499349159;-0.0120455324046066;-0.157437147912836;-66.1538381925037
6.05;0.227292088464994;-0.0198890487292325;-0.165287429288058;-66.1612948874725
6.1;0.220136115436835;-0.0270447622627033;-0.172446516621217;-66.1680690840187
6.15;0.222999851937232;-0.0241824472704084;-0.169584262091622;-66.1648163198799
6.2;0.214763588575057;-0.0324187518123194;-0.177821968729616;-66.172668766547
6.25;0.204451432224295;-0.0427330025739619;-0.188135939054272;-66.182617482673
6.3;0.194829913087606;-0.0523592633084395;-0.197758683356145;-66.1918910521004
6.35;0.185900074789354;-0.0612869048254596;-0.206683062398285;-66.2004816334345
6.4;0.178282112877519;-0.0689078106421691;-0.214305461600834;-66.2077754300701
6.45;0.192934909667772;-0.0542527016463705;-0.199654977538958;-66.1927687226527
6.5;0.130524098259817;-0.116661385292912;-0.262069075543832;-66.2549145618336
6.55;0.106164480481883;-0.14102163923659;-0.286429457090041;-66.27907367034
6.6;0.1528122261494;-0.0943704073147422;-0.239781133058909;-66.2321547255976
6.65;0.140779602707662;-0.106399832838259;-0.251811655968292;-66.243903417052
6.7;0.132584104162446;-0.114597742171102;-0.260001712022075;-66.2518325569628
6.75;0.124991663587692;-0.122195608760693;-0.267602162163461;-66.2591740678269
6.8;0.119493248353114;-0.127695744388086;-0.273103143924248;-66.2644316863997
6.85;0.114764735092496;-0.132420834543853;-0.277830082720581;-66.2689241081577
6.9;0.109325024759138;-0.137860510462948;-0.283269617289159;-66.2741365118883
6.95;0.103768434961788;-0.143419262183057;-0.288827482164113;-66.279469394625
7;0.098664710981388;-0.148521074791158;-0.293931999050994;-66.2843599063856
7.05;0.0931613448322779;-0.154028803362302;-0.299438854863379;-66.2896520720303
7.1;0.0880289519308011;-0.159160268800039;-0.304572649685219;-66.2945825321839
7.15;0.0849625237632208;-0.162228137701386;-0.307643486040063;-66.2974549044747
7.2;0.0816016835759338;-0.165589545668165;-0.311002256903107;-66.3006267638772
7.25;0.079482314428664;-0.167708177350806;-0.313119931682591;-66.3025530047005
7.3;0.0772068462191578;-0.169981192632524;-0.315396658860318;-66.3046339728099
7.35;0.0584557940956587;-0.188730045637517;-0.334152172087522;-66.3232213267525
7.4;0.030731209006691;-0.216451555587446;-0.361875250750122;-66.3508325329443
7.45;0.00656164566509517;-0.24061852116775;-0.386046096359309;-66.374933942291
7.5;-0.0117081622422671;-0.258893558001764;-0.404322229583853;-66.3931690548232
7.55;0.0488121229735836;-0.198368502745772;-0.343802987110055;-66.3325199164657
7.6;0.0504135765656108;-0.196768712522166;-0.342200611761679;-66.33076099828
7.65;0.0349819283490269;-0.212190731400044;-0.35762958953117;-66.3460532247737
7.7;0.0261750689658127;-0.220993739110675;-0.366437919953646;-66.354748385576
7.75;0.020089774527958;-0.22708605027199;-0.372527739946423;-66.3607306608332
7.8;0.0143069543682327;-0.232870679357992;-0.378311432892489;-66.3664205227705
7.85;0.00951436223552151;-0.237670046018436;-0.383109473899676;-66.3711293264051
7.9;0.00473043234039379;-0.242456795447453;-0.387893161044947;-66.3758347747595
7.95;9.67004001093756e-05;-0.247095833481363;-0.392529065381582;-66.3804002255338
8;-0.00453620969932323;-0.251732692535249;-0.397160459255231;-66.3849722184707
8.05;-0.0091370507407849;-0.256335268884343;-0.401759709721245;-66.3895177915374
8.1;-0.0137186722853119;-0.26091433006281;-0.406341781088567;-66.3940504339962
8.15;-0.0179441940849007;-0.265136639764961;-0.41056849958417;-66.398235664077
8.2;-0.0222711572958549;-0.269466404977314;-0.414894949702802;-66.4025336591342
8.25;-0.0261674761182293;-0.273365275776259;-0.418790147584987;-66.4064055544796
8.3;-0.030032987965902;-0.277232061280769;-0.422660704737137;-66.4102546255463
8.35;-0.0335107097707093;-0.280711489679466;-0.42614140289387;-66.4137230997595
8.4;-0.0368756919907703;-0.2840728309249;-0.42950479731152;-66.4170801854489
8.45;-0.0401642883510438;-0.287367554589366;-0.432797850130819;-66.4203720529563
8.5;-0.0432784447880229;-0.290481168270236;-0.435909596150796;-66.4234960559976
8.55;-0.0460595987139732;-0.293269409758793;-0.438691434140778;-66.4262883589672
8.6;-0.0488757952668863;-0.29609093189231;-0.441512826505527;-66.4291173427092
8.65;-0.0512486572278809;-0.298465153926779;-0.443885117671405;-66.4315088769991
8.7;-0.0536339126145805;-0.300847826883122;-0.446263352756546;-66.4339070121546
8.75;-0.0556017579865796;-0.302815338277796;-0.448228611208619;-66.4358942894067
8.8;-0.0574581893096892;-0.304678366345861;-0.4500896066136;-66.4377789697209
8.85;-0.0593060981168679;-0.306523861338441;-0.451936518157146;-66.4396557018837
8.9;-0.0609450460170973;-0.308159763188578;-0.453574566460791;-66.4413226091123
8.95;-0.0623455878530992;-0.309557193786551;-0.454974890461773;-66.4427573098968
9;-0.0637432281234781;-0.310959261776209;-0.456371648420992;-66.4441931859166
9.05;-0.0647233893221772;-0.311945636277483;-0.457359303182341;-66.44521598093
9.1;-0.0595559369858674;-0.306779562464511;-0.452199417316563;-66.44008780794
9.15;-0.0555780610210836;-0.302805960506768;-0.448231038880564;-66.436148527825
9.2;-0.0535107684853377;-0.300745278069777;-0.446167280136635;-66.4341100517408
9.25;-0.0524592024228659;-0.299698711820538;-0.445120047369084;-66.4330888507757
9.3;-0.0920253078040432;-0.339272696657401;-0.484694730048142;-66.4727451111252
9.35;-0.0680013061291435;-0.315248779716091;-0.460669717034256;-66.4487911667226
9.4;-0.0851084110179563;-0.332351417064113;-0.477778103136344;-66.4659721639431
9.45;-0.089062458583799;-0.33630641657384;-0.48173604497914;-66.4700220256875
9.5;-0.0884969903833695;-0.33574051231346;-0.481170073819635;-66.4695503652189
9.55;-0.0867405985567197;-0.33398722638909;-0.479419018728328;-66.4678890819068
9.6;-0.0844147170811088;-0.331662288226661;-0.477090524393969;-66.4656473884224
9.65;-0.0829478059886559;-0.330200858529168;-0.475625676113459;-66.464261543056
9.7;-0.0808651467416514;-0.328118320451831;-0.473542971534085;-66.4622654505905
9.75;-0.0780196317164392;-0.32526136715385;-0.470692566624821;-66.4595036965274
9.8;-0.065930568827787;-0.313164705618344;-0.458597576483624;-66.4474805334702
9.85;-0.078096312092168;-0.325331403305813;-0.470758158244278;-66.4597305613381
9.9;-0.0831024266146274;-0.330341181513637;-0.475765707458875;-66.4648346332572
9.95;-0.0781893815590687;-0.32543253123938;-0.470853017988566;-66.460015320019
10;-0.0769646629979975;-0.32419802831774;-0.4696309303035;-66.4588764629327
10.05;-0.0784331372732819;-0.325662252638152;-0.471095979709719;-66.4604306204862
10.1;-0.0794975964838747;-0.326727075307624;-0.472157858579707;-66.4615903695445
10.15;-0.0814264494832749;-0.328659165527333;-0.474085732187647;-66.4636199784526
10.2;-0.0825367011804642;-0.32977215118719;-0.475198199947049;-66.4648340629214
10.25;-0.0845552239830227;-0.331786730016501;-0.4772128539004;-66.4669508267306
10.3;-0.0861889014877145;-0.333418576156942;-0.478850019004822;-66.4686943095402
10.35;-0.0864564320412313;-0.333686001528854;-0.479120682880511;-66.4690741905002
10.4;-0.0892352952753025;-0.336463639646747;-0.481900550895062;-66.4719689904777
10.45;-0.0865202490050916;-0.333749479960072;-0.479190766965901;-66.4693791491286
10.5;-0.082034991859842;-0.329260278811754;-0.474702831034195;-66.4649986359054
10.55;-0.0790946860433679;-0.32631729403804;-0.471760029673503;-66.4621601096618
10.6;-0.0764134700392378;-0.323638781838712;-0.469078858125741;-66.4595769355661
10.65;-0.0741447683766893;-0.321369324749135;-0.466811657571673;-66.4574043919137
10.7;-0.0722163751883747;-0.319435761705008;-0.464876846247209;-66.455566757314
10.75;-0.0702139804147952;-0.317429334379937;-0.462867458446421;-66.4536552023917
10.8;-0.0687786441201438;-0.31599904631455;-0.461432743092173;-66.4523164145578
10.85;-0.0671646568210958;-0.314383583642899;-0.459817072082792;-66.4507992872293
10.9;-0.0659419913023464;-0.313162689668732;-0.458597547760607;-66.44966898884
10.95;-0.0646891151009283;-0.311906438294186;-0.457348384205961;-66.4485082259957
11;-0.0636434026998362;-0.310860229833837;-0.456301992659858;-66.4475519354133
11.05;-0.062566208361842;-0.309779497442643;-0.455226650667445;-66.4465621976816
11.1;-0.0617367518420498;-0.308945357254769;-0.454400425312694;-66.4458131101511
11.15;-0.0606951725989409;-0.307902858566277;-0.453358322732416;-66.4448536969052
11.2;-0.0600356527455628;-0.307243126692137;-0.452696618957934;-66.4442701067367
11.25;-0.0590903109985664;-0.306302616009438;-0.451755520856861;-66.4434130693905
11.3;-0.0583517387882768;-0.305567867943141;-0.451018101279334;-66.4427581714304
11.35;-0.0575047620594;-0.304723911854371;-0.450175343650997;-66.4419984078445
11.4;-0.056774108604557;-0.303993071282815;-0.449444101441489;-66.4413626680125
11.45;-0.0558610114391617;-0.30308049569363;-0.448526585961333;-66.4405383606031
11.5;-0.05513596804227;-0.302364714020115;-0.447801568157321;-66.4399007368383
11.55;-0.0540708966669844;-0.301302212189156;-0.446737951286484;-66.4389316802886
11.6;-0.0532851300388066;-0.300511097874349;-0.445944937082961;-66.4382233784307
11.65;-0.05225500564193;-0.299478089290743;-0.444915781133943;-66.4372690256607
11.7;-0.0513148311717359;-0.298532013327596;-0.443977536414718;-66.4364052494193
11.75;-0.0503743155542162;-0.297582130803365;-0.443034368527968;-66.4355492061681
11.8;-0.0503914504237582;-0.297594590640718;-0.443054228553451;-66.4356516801032
11.85;-0.0492819715998172;-0.296485625412798;-0.441935593158935;-66.4346236574394
11.9;-0.0481565484210928;-0.295359526616272;-0.44081200258961;-66.4335853695382
11.95;-0.0468541386192851;-0.294057925481484;-0.439504286802774;-66.4323634914857
12;-0.04501459589145;-0.292220374306562;-0.437659966635455;-66.4306064502811
12.05;-0.0430756058544913;-0.29028764186275;-0.435723033134212;-66.4287459308723
12.1;-0.0411610984740013;-0.288372866531724;-0.433818236037086;-66.4269089618504
12.15;-0.0392536223461144;-0.286464200534108;-0.431914129381399;-66.4250764711538
12.2;-0.0314650639236934;-0.278673102417655;-0.42413165533469;-66.4173583427806
12.25;-0.0217777550985044;-0.268981612340425;-0.414442627998862;-66.4077106710744
12.3;-0.0133788844418371;-0.260576638562466;-0.406033132775462;-66.3993329151498
12.35;-0.00674676637711315;-0.253954052368121;-0.399408995394778;-66.3927231136052
12.4;-0.0012143093224831;-0.248423507024711;-0.393875118049816;-66.3871942912078
12.45;-0.0275761091236032;-0.274783467422308;-0.420235179617602;-66.413596263593
12.5;-0.0317519747854068;-0.278961946741358;-0.424412665325109;-66.4178344270585
12.55;-0.030683360852899;-0.277896742629719;-0.423342274111978;-66.4168260870976
12.6;-0.0301794558484768;-0.277390557463153;-0.422835751563265;-66.4163780617344
12.65;-0.0290032506057121;-0.276225338002767;-0.421672421822879;-66.4152646214159
12.7;-0.0234897472439094;-0.270707703085217;-0.41615475929272;-66.4097963079345
12.75;-0.0233824092638659;-0.270588628437548;-0.416038303243403;-66.4097324891945
12.8;-0.0176295009531507;-0.264827867108986;-0.410282837570649;-66.4040183170636
12.85;-0.0198501601186425;-0.267044414671088;-0.412509399231656;-66.4062795188196
12.9;-0.0157296044615992;-0.262921821183502;-0.408389777041051;-66.4022044877899
12.95;-0.0181017481264044;-0.265295947649198;-0.410761456622115;-66.4046162287997
13;-0.0138124339710214;-0.261008593949351;-0.406470365560092;-66.400370184944
13.05;-0.0164332089373963;-0.263625033925849;-0.40908538962662;-66.4030318305061
13.1;-0.011928204159947;-0.259124073554964;-0.404585969537911;-66.3985715836147
13.15;-0.0146254245687379;-0.261835038108847;-0.407296084966032;-66.401317930982
13.2;-0.0103846975877416;-0.257600587394111;-0.403059342694014;-66.3971172115488
13.25;-0.0123112288627941;-0.25953393000884;-0.404990063782906;-66.3990914728307
13.3;-0.00835659659980881;-0.255566558192088;-0.401028146455352;-66.3951751896215
13.35;-0.0100125505268748;-0.257222453609822;-0.402682820502533;-66.396863397199
13.4;-0.0062519428008676;-0.253457719687074;-0.398922695604115;-66.3931314002929
13.45;-0.007902804099284;-0.255105491968089;-0.40056671619402;-66.3948035192161
13.5;-0.00517521601193039;-0.252382321186878;-0.397835578191727;-66.3920960895726
13.55;-0.00552343418575748;-0.252729811005592;-0.39818412911147;-66.3924680747258
13.6;-0.00557016685422839;-0.252779405865347;-0.398232598407274;-66.3925453274262
13.65;-0.000686453971869629;-0.247897834708208;-0.393349080687211;-66.3876895484557
13.7;-0.00171879357612677;-0.248927237788717;-0.394389515656895;-66.388751575393
13.75;-0.000705170567920141;-0.247915474844509;-0.393381896695294;-66.3877613439221
13.8;0.00369239453572792;-0.243516063684177;-0.388982330929421;-66.3833722422868
13.85;0.00219126345031804;-0.245009876888259;-0.390479048213863;-66.384888169024
13.9;0.00192706222616438;-0.245256376824439;-0.390736185881524;-66.3851622060591
13.95;0.00278673090524238;-0.244408095817439;-0.389872568320407;-66.3843170766581
14;0.00432876973953828;-0.242859821958296;-0.388330637583648;-66.3827878735989
14.05;0.00591501737416611;-0.241276886787402;-0.386742079616644;-66.3812243529189
14.1;0.006990074978809;-0.24019784998525;-0.385662438396638;-66.3801612096171
14.15;0.00873232750761692;-0.238454027637498;-0.383917622868983;-66.3784269309409
14.2;0.00976435442734499;-0.237421237889566;-0.382888681241388;-66.3774118964138
14.25;0.0111403349212659;-0.236040558010789;-0.381505464581814;-66.376042087204
14.3;0.0125039481257152;-0.23468309535596;-0.380148697143518;-66.3746876568552
14.35;0.0133807877636312;-0.233809398346417;-0.379277282657821;-66.3738174214464
14.4;0.0146117764307753;-0.232582404227157;-0.378048602025625;-66.3725928958818
14.45;0.0158569965217617;-0.231343788123223;-0.376805140077126;-66.3713434379392
14.5;0.0165901523340162;-0.230613607552448;-0.376071399584471;-66.3705996887688
14.55;0.017979454105473;-0.229220656046557;-0.374677433095899;-66.3691945675468
14.6;0.018662311205063;-0.228542447787924;-0.374003455752778;-66.3685032860408
14.65;0.0196795134355445;-0.2275223482022;-0.372981687818393;-66.3674676942699
14.7;0.0206763556644459;-0.226519138852636;-0.371982666160908;-66.3664481795698
14.75;0.0211913059729742;-0.226010189254845;-0.371468950283309;-66.3659235932025
14.8;0.0220569068094706;-0.225140998029859;-0.370601499557027;-66.3650399706301
14.85;0.0229388354094291;-0.224256073268666;-0.369713261535892;-66.364133694264
14.9;0.023304923752869;-0.223885248965772;-0.369336329101138;-66.3637356910061
14.95;0.0243337176919677;-0.222852776600277;-0.368304653130556;-66.3626796895628
15;0.024645061210367;-0.222538100431494;-0.367979444970758;-66.3623288681737
15.05;0.0253038534030995;-0.221878795237682;-0.367326962961518;-66.361640827284
15.1;0.0259508421727274;-0.221234531539317;-0.366687331549042;-66.3609640930157
