time;without calibration;time;with calibration
0.322739;2.117489;1.849780;4.569131
0.781368;3.564887;3.377121;5.554740
0.628492;2.737803;3.682590;5.985513
0.934244;4.185201;5.362665;5.093813
1.239997;4.908899;5.362665;4.770733
2.157255;5.865216;6.584538;5.701203
2.870678;6.304604;7.246386;6.554134
3.686018;7.235075;7.806411;7.277833
3.991771;8.113852;8.722816;7.923992
4.450400;8.915090;9.588309;8.897540
5.061905;9.509557;9.791955;9.655701
6.193190;10.377995;10.097423;10.276014
7.355051;10.595105;10.402891;10.896327
8.883814;11.766808;10.861094;11.632949
9.189567;12.404352;11.624764;12.257570
10.718330;11.256773;12.968825;13.077763
12.017779;11.073263;13.864865;13.394812
12.552846;12.042503;14.526713;14.256358
13.011475;12.895434;14.832181;15.316060
14.234486;13.326207;15.137649;16.737611
15.610373;14.024059;14.984915;15.858834
16.221878;14.782220;16.023507;17.575034
17.292013;15.673921;15.901320;18.185009
17.903518;15.867769;17.275927;17.047768
19.126529;15.945308;17.886864;17.978238
20.349539;16.677622;18.650534;18.874246
22.184056;16.936086;19.505845;19.611730
24.171448;17.366859;20.076053;20.562877
24.018572;18.361945;19.872407;21.079805
25.700211;16.725869;21.552483;19.184403
26.617469;17.651169;23.354745;18.205686
27.076098;18.685025;25.065368;18.577874
28.299109;19.374262;26.592709;17.737005
29.522120;19.718881;27.325833;17.306232
30.133625;20.571811;28.975361;16.768627
30.439378;21.373050;29.952860;17.547465
30.592254;22.070902;30.258328;16.582533
30.898007;22.742908;30.563796;15.962220
31.968141;23.725071;30.563796;15.341906
32.732523;24.362615;30.563796;14.540668
34.108410;24.810619;31.378378;13.670506
35.790050;25.482625;31.632935;12.989885
36.095803;26.102939;32.854808;14.308051
37.624566;25.172469;34.076681;15.143751
38.236071;25.896168;35.145820;14.721593
39.051412;26.878331;35.145820;13.920355
39.520233;27.674399;35.451288;13.377581
41.293598;27.718338;35.451288;12.757267
42.210856;28.002648;36.489881;11.857813
43.739620;29.307891;36.367693;11.361562
44.840329;30.403778;37.742300;12.317879
44.656878;30.755289;38.887806;13.054501
46.644270;29.850665;38.913262;13.894508
48.173033;29.643894;39.116908;14.308051
49.548920;30.565749;39.727844;12.085261
50.466178;31.203293;40.542426;11.016944
51.230560;31.814991;41.866122;10.861865
51.994942;32.512843;42.986172;11.551102
52.912200;33.150388;42.782527;12.257570
53.523705;33.960241;44.309868;10.513801
53.982334;35.149175;45.226273;9.862472
55.297071;35.655764;45.226273;9.242158
56.428356;35.691949;46.549969;8.708000
